genres,avg_rating
Film-Noir,3.920114942528736
War,3.8082938876312
Documentary,3.797785069729286
Crime,3.658293867274144
Drama,3.6561844113718758
Mystery,3.632460255407871
Animation,3.6299370349170004
IMAX,3.618335343787696
Western,3.583937823834197
Musical,3.5636781053649105
Adventure,3.5086089151939075
Romance,3.5065107040388437
Thriller,3.4937055799183425
Fantasy,3.4910005070136894
(no genres listed),3.4893617021276597
Sci-Fi,3.455721162210752
Action,3.447984331646809
Children,3.412956125108601
Comedy,3.3847207640898267
Horror,3.258195034974626
