title,avg_rating,num_ratings
"Shawshank Redemption, The (1994)",4.429022082018927,634
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),4.333333333333333,81
Double Indemnity (1944),4.323529411764706,51
"Philadelphia Story, The (1940)",4.310344827586207,87
Once Upon a Time in the West (C'era una volta il West) (1968),4.305555555555555,54
Lawrence of Arabia (1962),4.3,135
"Godfather, The (1972)",4.2890625,384
Harold and Maude (1971),4.288461538461538,78
Fight Club (1999),4.272935779816514,872
Cool Hand Luke (1967),4.271929824561403,57
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.268041237113402,194
Touch of Evil (1958),4.264705882352941,51
Rear Window (1954),4.261904761904762,168
"Godfather: Part II, The (1974)",4.25968992248062,258
"Departed, The (2006)",4.252336448598131,321
Notorious (1946),4.25,60
Goodfellas (1990),4.25,252
"Manchurian Candidate, The (1962)",4.25,90
"Outlaw Josey Wales, The (1976)",4.25,90
Casablanca (1942),4.24,200
"Dark Knight, The (2008)",4.238255033557047,596
"Usual Suspects, The (1995)",4.237745098039215,612
"Princess Bride, The (1987)",4.232394366197183,710
Star Wars: Episode IV - A New Hope (1977),4.231075697211155,753
"Third Man, The (1949)",4.229166666666667,72
Miller's Crossing (1990),4.225,80
Schindler's List (1993),4.225,440
"Boondock Saints, The (2000)",4.22093023255814,172
Apocalypse Now (1979),4.219626168224299,321
To Catch a Thief (1955),4.217391304347826,92
American History X (1998),4.217054263565892,258
Star Wars: Episode V - The Empire Strikes Back (1980),4.2156398104265405,633
"Boot, Das (Boat, The) (1981)",4.2125,120
Chinatown (1974),4.211864406779661,236
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.2075,400
One Flew Over the Cuckoo's Nest (1975),4.203007518796992,133
Reservoir Dogs (1992),4.202290076335878,393
Pulp Fiction (1994),4.197068403908795,1228
"Matrix, The (1999)",4.192446043165468,834
Seven Samurai (Shichinin no samurai) (1954),4.1875,144
North by Northwest (1959),4.184210526315789,285
Amadeus (1984),4.184210526315789,76
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",4.183333333333334,240
Brazil (1985),4.177966101694915,118
Rosemary's Baby (1968),4.171875,96
Glory (1989),4.170731707317073,82
"Maltese Falcon, The (1941)",4.170454545454546,88
Rebecca (1940),4.166666666666667,72
Nightcrawler (2014),4.166666666666667,54
Forrest Gump (1994),4.164133738601824,1316
Monty Python and the Holy Grail (1975),4.161764705882353,408
"Silence of the Lambs, The (1991)",4.161290322580645,837
Eternal Sunshine of the Spotless Mind (2004),4.1603053435114505,393
In Bruges (2008),4.158536585365853,164
Lone Star (1996),4.157894736842105,57
Snatch (2000),4.155913978494624,279
Spirited Away (Sen to Chihiro no kamikakushi) (2001),4.155172413793103,261
For a Few Dollars More (Per qualche dollaro in più) (1965),4.151515151515151,132
12 Angry Men (1957),4.149122807017544,57
"Green Mile, The (1999)",4.148648648648648,222
Ghost in the Shell (Kôkaku kidôtai) (1995),4.148148148148148,54
Life Is Beautiful (La Vita è bella) (1997),4.1477272727272725,352
City of God (Cidade de Deus) (2002),4.1466666666666665,375
Saving Private Ryan (1998),4.1462765957446805,564
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",4.145833333333333,216
There Will Be Blood (2007),4.142857142857143,56
Doctor Zhivago (1965),4.142857142857143,63
Star Wars: Episode VI - Return of the Jedi (1983),4.137755102040816,588
Inglourious Basterds (2009),4.136363636363637,264
"Great Escape, The (1963)",4.127906976744186,172
Memento (2000),4.122641509433962,318
"Bridge on the River Kwai, The (1957)",4.122222222222222,135
Patton (1970),4.121212121212121,66
To Kill a Mockingbird (1962),4.120689655172414,58
"Lord of the Rings: The Return of the King, The (2003)",4.118918918918919,740
"Lives of Others, The (Das leben der Anderen) (2006)",4.117647058823529,102
Fargo (1996),4.116022099447513,724
Unforgiven (1992),4.111111111111111,90
Toy Story 3 (2010),4.109090909090909,330
"Pianist, The (2002)",4.108695652173913,92
Intouchables (2011),4.108108108108108,74
Manhattan (1979),4.106060606060606,99
"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.106060606060606,396
Taxi Driver (1976),4.105769230769231,312
Blade Runner (1982),4.100806451612903,372
Dial M for Murder (1954),4.1,75
Full Metal Jacket (1987),4.098039215686274,204
Wallace & Gromit: The Best of Aardman Animation (1996),4.092592592592593,81
Office Space (1999),4.090425531914893,188
Old Boy (2003),4.089743589743589,78
"Grand Day Out with Wallace and Gromit, A (1989)",4.089285714285714,140
Fantastic Mr. Fox (2009),4.083333333333333,90
"Shining, The (1980)",4.08256880733945,109
Good Will Hunting (1997),4.078014184397163,282
Howl's Moving Castle (Hauru no ugoku shiro) (2004),4.075,160
Singin' in the Rain (1952),4.074468085106383,141
Kiss Kiss Bang Bang (2005),4.071428571428571,140
Bonnie and Clyde (1967),4.071428571428571,70
"Femme Nikita, La (Nikita) (1990)",4.071428571428571,140
Inception (2010),4.066433566433567,1001
"Graduate, The (1967)",4.063291139240507,237
Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),4.0625,144
L.A. Confidential (1997),4.061855670103093,388
3:10 to Yuma (2007),4.06,100
"Hurt Locker, The (2008)",4.0588235294117645,136
Kiki's Delivery Service (Majo no takkyûbin) (1989),4.0588235294117645,85
Roman Holiday (1953),4.0576923076923075,78
WALL·E (2008),4.0576923076923075,520
American Beauty (1999),4.056372549019608,408
"Lock, Stock & Two Smoking Barrels (1998)",4.052238805970149,201
"Iron Giant, The (1999)",4.051282051282051,195
Guardians of the Galaxy (2014),4.0508474576271185,177
Captain Phillips (2013),4.0476190476190474,84
Indiana Jones and the Last Crusade (1989),4.046428571428572,280
Evil Dead II (Dead by Dawn) (1987),4.044117647058823,136
Citizen Kane (1941),4.043478260869565,138
"King's Speech, The (2010)",4.043103448275862,58
My Fair Lady (1964),4.042857142857143,140
Trainspotting (1996),4.03921568627451,306
Army of Darkness (1993),4.03921568627451,255
Back to the Future (1985),4.038011695906433,513
"Road Warrior, The (Mad Max 2) (1981)",4.0375,160
Psycho (1960),4.036144578313253,166
Wallace & Gromit: The Wrong Trousers (1993),4.035714285714286,224
It's a Wonderful Life (1946),4.0344827586206895,232
Lost in Translation (2003),4.033783783783784,222
Braveheart (1995),4.031645569620253,711
Thank You for Smoking (2006),4.027777777777778,72
"Postman, The (Postino, Il) (1994)",4.027027027027027,111
Eastern Promises (2007),4.026315789473684,57
Vertigo (1958),4.025,240
Dogville (2003),4.025,60
Thor: Ragnarok (2017),4.025,60
"Cabin in the Woods, The (2012)",4.0227272727272725,88
Shutter Island (2010),4.022388059701493,201
"Lord of the Rings: The Two Towers, The (2002)",4.0212765957446805,376
The Imitation Game (2014),4.02,150
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),4.018796992481203,532
All the President's Men (1976),4.018518518518518,54
"Killing Fields, The (1984)",4.017857142857143,56
This Is Spinal Tap (1984),4.015151515151516,66
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",4.0131578947368425,190
Some Like It Hot (1959),4.01,100
Shaun of the Dead (2004),4.0064935064935066,154
"Prestige, The (2006)",4.0055555555555555,360
Jaws (1975),4.0054945054945055,182
Stand by Me (1986),4.0054945054945055,182
Up (2009),4.004761904761905,420
Henry V (1989),4.0,76
Hot Fuzz (2007),4.0,244
"Beautiful Mind, A (2001)",4.0,246
Run Lola Run (Lola rennt) (1998),4.0,150
Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984),4.0,115
The Martian (2015),4.0,144
Blood Simple (1984),4.0,57
Bound (1996),4.0,92
"Secret Life of Walter Mitty, The (2013)",4.0,60
"Clockwork Orange, A (1971)",3.995833333333333,480
"Dark Knight Rises, The (2012)",3.9934210526315788,304
Interstellar (2014),3.993150684931507,146
Young Frankenstein (1974),3.9927536231884058,138
"Fugitive, The (1993)",3.9921052631578946,190
Raising Arizona (1987),3.9913793103448274,58
Harry Potter and the Deathly Hallows: Part 1 (2010),3.9893617021276597,188
Watchmen (2009),3.988372093023256,258
The Machinist (2004),3.986842105263158,114
Kingsman: The Secret Service (2015),3.986111111111111,144
Platoon (1986),3.984126984126984,126
